seed,alpha,gamma,epsilon,n_successes,n_successes_last_10_trials
1,0.4,0.3,0.7,39,5
1,0.4,0.3,0.8,32,4
1,0.4,0.3,0.9,29,3
1,0.4,0.3,1,15,1
1,0.4,0.4,0.1,91,9
1,0.4,0.4,0.2,88,7
1,0.4,0.4,0.3,87,8
1,0.4,0.4,0.4,76,8
1,0.4,0.4,0.5,67,7
1,0.4,0.4,0.6,54,8
1,0.4,0.4,0.7,54,3
1,0.4,0.4,0.8,39,2
1,0.4,0.4,0.9,35,5
1,0.4,0.4,1,24,3
1,0.4,0.5,0.1,87,9
1,0.4,0.5,0.2,84,8
1,0.4,0.5,0.3,78,6
1,0.4,0.5,0.4,71,7
1,0.4,0.5,0.5,69,5
1,0.4,0.5,0.6,56,9
1,0.4,0.5,0.7,43,3
1,0.4,0.5,0.8,34,0
1,0.4,0.5,0.9,22,4
1,0.4,0.5,1,28,3
1,0.4,0.6,0.1,86,10
1,0.4,0.6,0.2,89,7
1,0.4,0.6,0.3,72,7
1,0.4,0.6,0.4,66,8
1,0.4,0.6,0.5,66,7
1,0.4,0.6,0.6,57,4
1,0.4,0.6,0.7,44,3
1,0.4,0.6,0.8,42,4
1,0.4,0.6,0.9,29,4
1,0.4,0.6,1,24,4
1,0.4,0.7,0.1,74,9
1,0.4,0.7,0.2,75,8
1,0.4,0.7,0.3,75,7
1,0.4,0.7,0.4,72,7
1,0.4,0.7,0.5,58,7
1,0.4,0.7,0.6,46,5
1,0.4,0.7,0.7,42,4
1,0.4,0.7,0.8,31,0
1,0.4,0.7,0.9,23,3
1,0.4,0.7,1,23,1
1,0.4,0.8,0.1,74,10
1,0.4,0.8,0.2,83,8
1,0.4,0.8,0.3,66,5
1,0.4,0.8,0.4,75,6
1,0.4,0.8,0.5,61,5
1,0.4,0.8,0.6,50,7
1,0.4,0.8,0.7,42,7
1,0.4,0.8,0.8,32,2
1,0.4,0.8,0.9,25,3
1,0.4,0.8,1,27,3
1,0.4,0.9,0.1,80,10
1,0.4,0.9,0.2,83,8
1,0.4,0.9,0.3,66,9
1,0.4,0.9,0.4,65,7
1,0.4,0.9,0.5,61,7
1,0.4,0.9,0.6,42,4
1,0.4,0.9,0.7,45,4
1,0.4,0.9,0.8,25,1
1,0.4,0.9,0.9,28,1
1,0.4,0.9,1,18,1
1,0.4,1,0.1,39,3
1,0.4,1,0.2,73,5
1,0.4,1,0.3,75,4
1,0.4,1,0.4,51,5
1,0.4,1,0.5,44,5
1,0.4,1,0.6,44,7
1,0.4,1,0.7,42,4
1,0.4,1,0.8,26,3
1,0.4,1,0.9,26,2
1,0.4,1,1,16,2
1,0.5,0.1,0.1,90,10
1,0.5,0.1,0.2,88,10
1,0.5,0.1,0.3,82,7
1,0.5,0.1,0.4,78,5
1,0.5,0.1,0.5,78,9
1,0.5,0.1,0.6,62,6
1,0.5,0.1,0.7,46,6
1,0.5,0.1,0.8,36,3
1,0.5,0.1,0.9,34,3
1,0.5,0.1,1,18,1
1,0.5,0.2,0.1,89,10
1,0.5,0.2,0.2,90,9
1,0.5,0.2,0.3,81,6
1,0.5,0.2,0.4,73,6
1,0.5,0.2,0.5,72,7
1,0.5,0.2,0.6,60,5
1,0.5,0.2,0.7,45,4
1,0.5,0.2,0.8,38,3
1,0.5,0.2,0.9,29,2
1,0.5,0.2,1,23,2
1,0.5,0.3,0.1,96,10
1,0.5,0.3,0.2,90,7
1,0.5,0.3,0.3,87,10
1,0.5,0.3,0.4,74,8
